Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CH4 emissions, latest year",% change since 1990,"Emissions, pc last year"
422.0,Lebanon,,,,,1129.11,,,,,,1825.11,,,,,,,,,,,2873.64,2962.05,2030.14,,,,,,2013,2030.14,,0.343
426.0,Lesotho,,,,,970.41,,,,,,1257.06,,,,,,,,,,,,,,,,,,,2000,1257.06,,0.618
430.0,Liberia,,,,,,,,,,,4140.78,,,,,,,,,,,,,,,,,,,2000,4140.78,,1.454
438.0,Liechtenstein,0.77,0.77,0.75,0.72,0.72,0.72,0.73,0.72,0.72,0.69,0.67,0.71,0.72,0.72,0.73,0.75,0.78,0.79,0.79,0.79,0.76,0.78,0.8,0.76,0.74,0.74,0.74,0.72,0.73,2018,0.73,-5.58,0.019
440.0,Lithuania,280.24,271.82,237.09,207.1,186.72,177.41,174.26,174.69,170.03,160.02,154.44,151.47,153.58,155.86,156.64,156.38,156.36,154.89,152.27,148.38,147.37,140.96,141.32,138.62,138.87,136.98,133.3,131.08,122.57,2018,122.57,-56.26,0.044
442.0,Luxembourg,23.27,23.77,23.13,23.32,22.82,23.46,23.81,23.6,23.5,23.7,23.42,23.63,23.61,23.18,23.05,23.01,22.86,23.21,23.62,23.67,23.67,22.69,22.37,22.54,23.06,23.3,23.45,23.75,23.51,2018,23.51,1.03,0.039
450.0,Madagascar,,,,,7755.09,,,,,,6919.5,,,,,10489.5,11488.06,11493.12,10846.65,11003.31,11192.38,,,,,,,,,2010,11192.38,,0.529
454.0,Malawi,7043.61,,,,3945.48,,,,,,,,,,,,,,,,,,,,,,,,,1994,3945.48,-43.98,0.405
458.0,Malaysia,9964.91,26472.72,27866.28,31781.65,33588.63,35304.62,39159.75,42083.91,43813.9,46828.59,49116.56,50703.88,50966.26,51879.88,54653.11,58182.6,60520.05,61759.12,64087.67,63688.28,67342.39,67532.02,,,,,,,,2011,67532.02,577.7,2.357
462.0,Maldives,,,,,23.98,,,,,,,,,,,,,,,,,31.79,32.38,33.41,38.85,42.27,,,,2015,42.27,,0.093
466.0,Mali,,,,,,7157.18,,,,,8849.21,,,,,,,,,,13544.33,,,,,,,,,2010,13544.33,,0.9
470.0,Malta,4.21,4.48,4.76,5.05,5.29,5.48,5.76,6.03,6.29,6.57,6.99,7.18,7.45,7.73,8.11,8.56,8.87,9.11,5.89,6.48,7.22,6.73,6.66,6.25,6.9,7.28,7.63,7.63,7.99,2018,7.99,89.81,0.018
584.0,Marshall Islands,,,,,,,,,,,39.59,,,,,35.41,,,,,42.08,,,,,,,,,2010,42.08,,0.747
478.0,Mauritania,,,,,,3263.02,,,,,4146.73,,,,,,,,,,,,,,,,,,,2000,4146.73,,1.577
480.0,Mauritius,,,,,,193.2,,,,,1233.57,1350.03,1280.8,1318.59,1323.84,1322.46,1521.03,,,,,,,1545.81,,,,,,2013,1545.81,,1.231
