Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"NOx emissions, latest year",% change since 1990,"Emissions, pc last year"
442.0,Luxembourg,41.03,46.86,46.79,44.59,41.09,34.65,34.79,34.56,33.48,36.02,39.75,41.48,41.9,44.69,53.65,55.38,49.92,45.53,42.27,37.7,38.5,39.2,36.6,33.19,31.02,27.5,24.74,21.66,19.74,2018,19.74,-51.9,32.66
450.0,Madagascar,,,,,16.59,,,,,,24.34,,,,,30.1,47.8,49.9,32.4,32.8,34.9,,,,,,,,,2010,34.9,,1.65
454.0,Malawi,28.7,,,,26.27,,,,,,,,,,,,,,,,,,,,,,,,,1994,26.27,-8.47,2.7
458.0,Malaysia,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,2011,1.04,,0.04
466.0,Mali,,,,,,11.31,,,,,31.45,,,,,,,,,,8.79,,,,,,,,,2010,8.79,,0.58
470.0,Malta,7.43,7.64,8.73,8.78,9.4,9.19,9.38,9.67,9.49,9.45,9.5,7.84,7.86,8.45,7.81,9.76,9.7,10.02,10.07,8.3,8.89,7.8,9.16,8.18,8.61,7.5,6.09,6.34,4.52,2018,4.52,-39.22,10.28
584.0,Marshall Islands,,,,,,,,,,,0.37,,,,,0.43,,,,,0.59,,,,,,,,,2010,0.59,,10.39
478.0,Mauritania,,,,,,6.87,,,,,10.31,,,,,,,,,,,,,,,,,,,2000,10.31,,3.92
480.0,Mauritius,,,,,,20.36,,,,,13.56,13.46,13.75,14.29,13.95,13.69,,,,,,,,,,,,,,2005,13.69,,11.2
583.0,Micronesia (Federated States of),,,,,2.25,,,,,,1.26,,,,,,,,,,,,,,,,,,,2000,1.26,,11.69
492.0,Monaco,0.57,0.62,0.82,0.65,0.63,0.58,0.57,0.54,0.5,0.48,0.46,0.47,0.43,0.41,0.39,0.37,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.24,0.21,0.19,0.17,0.16,0.14,2018,0.14,-74.59,3.73
496.0,Mongolia,2.3,2.3,2.5,2.5,2.6,2.7,2.9,2.96,2.98,,,,,,,,,,,,,,,,,,,,,1998,2.98,29.57,1.27
