Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"SO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
428.0,Latvia,100.45,81.68,69.79,65.74,66.71,49.39,55.67,43.96,39.84,32.21,17.75,14.3,12.98,11.31,9.28,8.74,8.32,8.12,6.58,6.61,4.31,4.27,4.41,3.9,3.85,3.55,3.43,3.59,3.83,2018,3.83,-96.19,1.99
422.0,Lebanon,,,,,82.99,,,,,,93.42,,,,,,,,,,,102.02,112.05,119.01,,,,,,2013,119.01,,20.13
440.0,Lithuania,185.14,210.72,110.23,96.82,96.02,73.77,74.44,68.3,85.05,63.48,37.95,41.76,37.52,24.84,25.58,27.37,25.16,21.62,19.51,18.72,18.02,19.53,17.0,14.66,13.34,14.93,14.88,12.65,12.66,2018,12.66,-93.16,4.52
442.0,Luxembourg,15.75,15.96,15.57,16.5,14.95,8.83,8.31,5.65,3.01,3.09,3.25,3.82,2.8,2.62,2.41,2.38,2.76,2.32,1.69,1.67,1.65,1.23,1.44,1.49,1.51,1.3,0.95,0.96,0.92,2018,0.92,-94.17,1.52
450.0,Madagascar,,,,,34.65,,,,,,39.82,,,,,52.0,54.1,56.9,60.1,61.9,65.2,,,,,,,,,2010,65.2,,3.08
466.0,Mali,,,,,,0.0,,,,,,,,,,,,,,,3.65,,,,,,,,,2010,3.65,,0.24
470.0,Malta,10.26,11.12,11.63,11.7,12.43,11.41,10.16,10.52,10.64,10.39,10.03,10.96,10.41,11.3,11.12,12.36,12.47,12.85,10.53,6.76,8.17,8.11,8.12,5.57,4.91,2.44,2.05,1.04,0.33,2018,0.33,-96.76,0.76
584.0,Marshall Islands,,,,,,,,,,,0.15,,,,,0.18,,,,,0.28,,,,,,,,,2010,0.28,,5.02
478.0,Mauritania,,,,,,0.19,,,,,0.09,,,,,,,,,,,,,,,,,,,2000,0.09,,0.03
480.0,Mauritius,,,,,,26.74,,,,,8.76,9.55,9.2,12.47,9.72,9.6,,,,,,,,,,,,,,2005,9.6,,7.86
583.0,Micronesia (Federated States of),,,,,0.53,,,,,,0.31,,,,,,,,,,,,,,,,,,,2000,0.31,,2.86
492.0,Monaco,0.13,0.12,0.13,0.13,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,2018,0.01,-91.55,0.29
499.0,Montenegro,13.95,15.28,12.74,8.21,6.91,3.76,12.02,11.06,13.12,13.45,13.52,11.08,15.38,14.79,14.09,12.5,13.74,11.78,15.35,8.08,27.8,39.73,,,,,,,,2011,39.73,184.73,63.54
504.0,Morocco,,,,,295.0,,,,,,484.09,,,,,,,,,,576.97,,635.53,,,,,,,2012,635.53,,19.12
516.0,Namibia,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,2000,10.9,,6.07
520.0,Nauru,,,,,,,,,,,0.05,,,0.03,,,,0.02,,,0.18,,,,,,,,,2010,0.18,,18.39
524.0,Nepal,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,2000,76.0,,3.17
528.0,Netherlands,187.18,108.09,105.11,102.34,97.79,125.69,18.92,12.07,92.56,86.0,70.59,72.26,65.7,61.26,63.95,62.4,62.65,59.49,50.2,36.92,33.78,33.76,33.95,29.65,29.22,30.36,27.48,26.08,24.51,2018,24.51,-86.91,1.44
554.0,New Zealand,57.06,55.25,60.16,58.54,59.27,62.17,60.87,61.81,61.87,66.25,70.61,74.8,76.39,89.97,86.9,93.43,89.66,81.99,87.28,74.33,73.49,74.07,78.62,75.51,73.57,75.76,69.35,73.67,71.35,2018,71.35,25.05,15.04
558.0,Nicaragua,,,,,4.59,,,,,,0.19,,,,,,,,,,,,,,,,,,,2000,0.19,,0.04
562.0,Niger,,,,,,,,,,,2140.0,,,,,,,,1929.0,,,,,,,,,,,2008,1929.0,,126.48
566.0,Nigeria,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,2000,190.0,,1.55
570.0,Niue,,,,,2.21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2009,0.0,,0.06
807.0,North Macedonia,2.98,2.7,2.38,1.91,1.68,1.99,2.71,2.79,2.9,2.23,2.82,2.53,2.65,255.76,229.61,246.81,257.66,196.07,208.99,205.83,,,,,,,,,,2009,205.83,6799.91,99.48
578.0,Norway,49.73,42.48,37.0,35.55,35.3,34.67,33.74,31.28,30.07,29.46,27.12,25.52,23.09,23.2,24.78,23.29,21.49,19.72,19.96,14.9,18.88,18.78,17.13,17.48,17.43,17.02,15.88,15.36,16.28,2018,16.28,-67.26,3.05
512.0,Oman,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,1994,3.38,,1.57
585.0,Palau,,,,,,,,,,,0.0,,,,,0.01,,,,,,,,,,,,,,2005,0.01,,0.38
591.0,Panama,,,,,1.85,,,,,,0.13,,,,,,,,,,,,,,,,,,,2000,0.13,,0.04
598.0,Papua New Guinea,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,2000,36.0,,6.16
600.0,Paraguay,0.3,,,,0.22,,,,,,0.16,,,,,0.26,,,,,,0.26,0.27,,,,,,,2012,0.27,-7.71,0.04
604.0,Peru,,,,,123.26,,,,,,,,,,,,,,,,,,,,,,,,,1994,123.26,,5.17
608.0,Philippines,,,,,458.53,,,,,,,,,,,,,,,,,,,,,,,,,1994,458.53,,6.73
616.0,Poland,2652.31,2564.39,2318.19,2304.07,2206.79,2141.02,2154.76,1974.72,1770.44,1599.28,1410.65,1385.83,1298.32,1281.14,1210.01,1171.17,1236.17,1173.8,947.03,811.09,874.44,836.36,802.93,767.99,723.58,711.43,590.66,582.65,,2017,582.65,-78.03,15.35
620.0,Portugal,317.64,308.02,366.45,309.46,288.0,321.82,262.72,274.89,322.08,330.98,294.82,277.64,276.81,184.91,188.37,189.72,164.95,157.54,104.24,71.91,62.95,56.96,52.23,47.97,43.41,45.63,45.56,47.14,45.17,2018,45.17,-85.78,4.4
634.0,Qatar,,,,,,,,,,,,,,,,,,143.92,,,,,,,,,,,,2007,143.92,,118.12
498.0,Republic of Moldova,294.78,256.04,170.02,145.54,102.54,60.94,58.88,33.86,26.9,13.9,9.8,9.32,10.43,12.22,11.13,10.76,10.95,9.03,13.29,17.64,19.97,19.67,18.67,21.86,,,,,,2013,21.86,-92.58,5.37
