Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
233.0,Estonia,40277.31,37156.12,27157.9,21206.14,21900.77,20109.1,20797.26,20423.99,18916.39,17585.33,17246.55,17619.03,17067.92,18971.86,19305.7,19012.24,18295.81,22023.1,19872.67,16519.6,21019.06,21058.29,19966.95,21848.04,21056.79,18109.74,19640.42,20923.49,19974.14,2018,19974.14,-50.41,15.1
748.0,Eswatini,,,,,7538.68,,,,,,,,,,,,,,,,,,,,,,,,,1994,7538.68,,8.31
231.0,Ethiopia,43018.0,44607.0,43683.0,44095.0,45525.57,45164.66,47441.01,68313.47,69184.28,69450.89,67907.18,71058.02,78599.97,78329.96,81163.65,62776.98,72297.33,74642.46,83531.34,86741.5,92482.99,90195.1,94222.52,94995.96,,,,,,2013,94995.96,120.83,1.0
242.0,Fiji,,,,,1391.33,,,,,,,,,,2710.07,,,,,,,,,,,,,,,2004,2710.07,,3.31
246.0,Finland,71065.26,68854.17,67416.61,69684.06,75215.37,71656.56,77633.33,76321.12,72626.36,72016.77,70145.35,75475.58,77909.24,85532.07,81839.01,69837.08,81207.9,79544.79,71452.38,67834.7,75649.74,67899.41,62419.24,62856.36,58700.07,55086.25,58039.64,55336.72,56359.07,2018,56359.07,-20.69,10.21
250.0,France,551404.78,578699.48,566925.42,544411.47,538971.27,546666.86,564234.85,557026.92,570706.96,562824.23,556689.81,561632.97,555016.01,559892.55,558006.76,559561.38,547350.92,536920.91,529131.49,510222.31,516993.59,488626.08,489044.21,490340.67,460180.56,464049.06,465667.52,470593.2,452209.68,2018,452209.68,-17.99,6.96
266.0,Gabon,,,,,6524.33,,,,,,6159.55,,,,,,,,,,,,,,,,,,,2000,6159.55,,5.01
270.0,Gambia,,,,4257.81,,,,,,,19383.19,,,,,,,,,,,,,,,,,,,2000,19383.19,,14.71
268.0,Georgia,38688.05,36347.18,23622.48,14600.33,10689.9,8539.54,11746.65,9167.12,,,10620.63,10018.09,9844.42,10428.84,11139.53,11408.13,13768.41,14424.61,13770.38,13052.95,12877.32,15947.92,17159.07,16610.14,,,,,,2013,16610.14,-57.07,4.1
276.0,Germany,1249458.56,1202408.48,1152233.12,1143321.08,1124269.24,1121370.24,1139309.8,1104200.14,1078910.26,1045140.62,1043426.39,1058627.88,1037293.21,1034945.73,1018676.23,993198.75,1000519.9,973838.74,976672.15,909260.14,942338.0,919434.65,924147.41,941570.26,902388.74,906320.05,909052.47,894296.28,858368.68,2018,858368.68,-31.3,10.33
288.0,Ghana,9228.17,8794.78,9210.57,9576.36,9758.88,10126.71,10778.95,11671.36,11819.09,12651.88,14302.41,14347.54,15047.29,15698.35,15386.25,16217.13,18227.04,,,,,,,,,,,,,2006,18227.04,97.52,0.81
300.0,Greece,103308.91,103363.79,104609.04,104210.52,106996.16,109332.94,112478.84,117379.08,122976.55,123133.87,126492.93,127546.73,127561.99,131300.83,131982.9,136446.5,132540.1,135170.74,131846.08,124640.14,118522.25,115593.36,112326.85,102705.1,99276.89,95482.14,91839.59,95585.97,92221.66,2018,92221.66,-10.73,8.76
308.0,Grenada,,,,,1606.47,,,,,,,,,,,,,,,,,,,,,,,,,1994,1606.47,,16.17
320.0,Guatemala,14742.18,,,,17577.53,,,,,,19869.48,,,,,22948.27,,,,,,,,,,,,,,2005,22948.27,55.66,1.75
324.0,Guinea,,,,,5057.64,,,,,,47713.0,,,,,,,,,,,,,,,,,,,2000,47713.0,,5.79
624.0,Guinea-Bissau,,,,,1693.96,,,,,,,,,,,,2150.28,,,,13064.99,,,,,,,,,2010,13064.99,,8.58
328.0,Guyana,2553.23,2563.73,2570.03,2584.73,2587.46,2561.8,2690.23,2872.56,2896.46,2996.83,2845.66,3305.84,2666.82,2923.23,2891.31,,,,,,,,,,,,,,,2004,2891.31,13.24,3.88
332.0,Haiti,,,,,4066.67,5361.73,6116.9,6432.88,6495.03,6742.03,6683.12,,,,,,,,,,,,,,,,,,,2000,6683.12,,0.79
340.0,Honduras,,,,,,10825.89,,,,,10298.1,,,,,13185.67,,,,,,,,,,15977.15,,,,2015,15977.15,,1.75
348.0,Hungary,93950.88,87286.6,77236.19,78119.02,76973.33,75352.36,77569.03,76028.72,75560.09,76110.41,73234.56,75218.53,73535.06,76488.13,75630.98,75386.68,74139.16,72456.79,70519.93,64481.6,64856.75,63239.46,59569.73,56763.15,57391.17,60797.34,61257.34,63781.35,63219.56,2018,63219.56,-32.71,6.51
352.0,Iceland,3732.87,3516.77,3428.21,3516.12,3434.54,3551.04,3609.56,3776.82,3922.02,4147.96,4171.05,4061.52,4153.12,4112.7,4211.34,4059.46,4648.29,4947.06,5342.91,5005.6,4928.92,4680.96,4683.54,4688.54,4722.1,4799.81,4754.6,4835.51,4856.95,2018,4856.95,30.11,14.42
356.0,India,,,,,1214248.0,,,,,,1523766.56,,,,,,,,,,2100849.73,,,,,,,,,2010,2100849.73,,1.7
360.0,Indonesia,266818.39,292610.4,306828.59,318657.49,334191.21,,,,,,554333.48,,,,,,,,,,,,,,,,,,,2000,554333.48,107.76,2.62
364.0,Iran (Islamic Republic of),,,,,385433.3,,,,,,483669.17,,,,,,,,,,,,,,,,,,,2000,483669.17,,7.37
368.0,Iraq,,,,,,,,72658.0,,,,,,,,,,,,,,,,,,,,,,1997,72658.0,,3.39
372.0,Ireland,55468.3,56146.92,56013.36,56416.31,57760.82,59164.25,61234.15,62565.16,65031.48,66174.54,68314.28,70221.21,68244.22,68550.02,67990.21,69702.11,68825.59,68042.03,67490.64,61736.43,61277.54,57156.86,57752.7,57589.73,57325.32,59415.93,61491.44,61004.88,60934.54,2018,60934.54,9.85,12.65
376.0,Israel,,,,,,,57653.4,,,,67162.86,,,69900.28,70223.7,70784.48,72125.21,75367.21,76733.41,72892.51,75738.28,77881.67,83821.96,78272.45,76032.39,79163.87,79049.45,78034.61,78697.77,2018,78697.77,,9.39
380.0,Italy,516051.74,517107.0,516117.31,509104.9,503368.55,529435.48,523538.23,531260.38,543481.19,548740.28,552474.43,554029.53,560213.53,579418.02,585375.66,586529.47,576602.67,569689.77,557101.8,502603.75,513756.38,501288.05,482361.63,447072.72,426491.71,439431.75,436088.45,431324.46,427529.02,2018,427529.02,-17.15,7.05
388.0,Jamaica,,,,,116314.2,,,,,,,,,,,,15966.0,15762.05,18465.11,15533.79,14866.26,,14918.49,,,,,,,2012,14918.49,,5.25
392.0,Japan,1270039.97,1284001.18,1296664.52,1289105.6,1353440.83,1374505.1,1386969.52,1379301.65,1330779.96,1354370.0,1374774.03,1349333.28,1373167.46,1379116.92,1371688.86,1378770.81,1357162.21,1393190.47,1321204.29,1248422.29,1302549.97,1353603.93,1396323.77,1407809.07,1358344.55,1319800.19,1302842.08,1289239.53,1238342.71,2018,1238342.71,-2.5,9.74
400.0,Jordan,,,,,21943.44,,,,,,19401.93,,,,,,27752.0,,,,,,,,,,,,,2006,27752.0,,4.63
398.0,Kazakhstan,401871.42,388981.94,360142.31,322478.57,274206.46,255808.65,237527.36,230633.86,228926.65,203735.18,238979.34,198340.6,216042.5,237980.28,248963.98,262116.25,284307.53,292204.62,295595.6,289196.42,320259.32,311437.82,317589.18,326985.99,351113.73,359580.68,360520.71,381931.52,396570.47,2018,396570.47,-1.32,21.65
404.0,Kenya,,,,,21466.23,34868.51,,,,,34213.05,,,,,39765.16,,,,,49964.09,,,,,,,,,2010,49964.09,,1.19
296.0,Kiribati,,,,,27.97,,,,,,,,,,29.66,31.23,256.41,271.21,170.31,,,,,,,,,,,2008,170.31,,1.72
414.0,Kuwait,,,,,32373.39,,,,,,,,,,,,,,,,,,,,,,86336.98,,,2016,86336.98,,21.82
